ID_REF,GSM2407549,GSM2407550,GSM2407551,GSM2407552,GSM2407553,GSM2407554,GSM2407555,GSM2407556,GSM2407557,GSM2407558,GSM2407559,GSM2407560,GSM2407561,GSM2407562,GSM2407563,GSM2407564,GSM2407565,GSM2407566,GSM2407567,GSM2407568,GSM2407569,GSM2407570,GSM2407571,GSM2407572,GSM2407573
20536293,1.06596,1.13063,1.34704,1.27031,1.13519,1.11654,1.35403,1.6358,0.82622,0.712323,1.44384,0.923703,1.29179,0.977605,1.12933,0.902404,1.73647,1.29475,1.02239,1.39441,1.33477,0.795102,1.49633,1.21594,0.974492
20536294,3.98229,3.69975,2.97264,2.85765,4.15768,3.46544,3.13037,3.84227,2.93131,3.21317,3.46916,3.28621,2.69571,3.32417,2.36008,3.13502,4.75412,3.37642,3.60361,4.24247,4.72269,4.25659,4.14808,3.33867,4.64324
20536295,1.06596,1.13063,1.34704,1.27031,1.13519,1.11654,1.35403,1.6358,0.82622,0.712323,1.44384,0.923703,1.29179,0.977605,1.12933,0.902404,1.73647,1.29475,1.02239,1.39441,1.33477,0.795102,1.49633,1.21594,0.974492
20536296,1.06145,1.38767,0.851449,1.61637,1.03773,1.06756,1.19331,0.981861,1.30255,1.13065,0.947911,1.42896,1.20574,1.22401,1.43395,1.28184,1.07828,1.21093,1.23053,1.27965,1.03123,0.568909,1.96548,1.56512,0.969813
20536297,2.70033,2.15917,1.98522,2.05531,2.72455,2.83462,2.25176,2.0727,1.7909,3.1137,2.82166,2.34154,2.04064,2.57627,2.87559,2.12498,3.58767,3.20648,3.64552,3.58251,3.64509,3.22902,2.7911,2.80967,3.24068
20536298,1.55768,1.39701,0.848352,1.72099,1.99661,1.60231,1.14683,2.21141,1.3374,0.543032,0.897945,0.951351,0.734494,1.16606,1.46197,1.35571,1.20017,0.793669,1.37972,1.88373,1.20147,1.1006,1.17977,1.97935,1.57369
20536299,1.27604,1.54857,1.19528,1.25082,1.04038,1.091,1.06088,1.19788,0.809679,1.54363,1.28235,1.23714,2.19497,0.829949,1.14021,1.00565,1.02458,1.76725,1.25072,1.04864,1.64226,1.24957,1.391,1.27569,1.32453
20536300,1.61683,1.64575,2.25952,1.53442,1.19573,1.85267,1.58572,1.23224,2.0244,1.47671,1.52562,1.7487,1.21674,1.33042,1.03987,1.60817,1.42267,1.36685,1.74123,1.57121,1.18792,1.46471,1.20508,1.56696,1.35013
20536301,3.29777,3.3524,2.90092,2.32757,3.18236,2.41317,2.83057,2.74853,1.63316,2.13763,1.43563,2.91193,2.00209,2.18714,1.66502,2.04269,2.22583,2.26063,2.04078,1.28958,3.15322,2.60789,1.93339,1.25191,2.26361
20536302,0.879978,1.18635,0.921238,1.25821,1.45127,1.39076,1.33271,1.27431,0.729778,1.502,1.3785,1.19342,1.64295,0.963303,1.44724,1.89506,0.764467,1.45002,1.17256,0.928181,1.26393,1.44955,0.966608,1.11733,0.859667
